player_id,player_name,team_name,season_id,season_name,primary_position,secondary_position,player_season_minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster
28529,Fernando David Arce Juárez,Juárez,108,2021/2022,Left Defensive Midfielder,Centre Defensive Midfielder,1233.9667,-2.0498973607969586,-4.292979687477899,-3.308286604455273,-0.8335322870635801,-1.7402850913057908,6.222483710476934,4.8910568520072255,2
30458,Alejandro Zendejas Saavedra,Necaxa,108,2021/2022,Left Centre Midfielder,Left Defensive Midfielder,1794.3,6.0396136673807606,0.4673063832071884,-1.9469424928805488,1.1839780276868974,-0.11937691935861036,3.6833500151808485,2.408515268835339,0
31044,Jefferson Alfredo Intriago Mendoza,Mazatlán,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,1779.0333,-1.7356048500176813,-3.451507622953174,-0.20535656440807531,1.0363539382837672,2.6418967764614494,-2.0874563680109666,2.091556652137972,2
28173,Aníbal Hernán Chalá Ayoví,Atlas,108,2021/2022,Left Wing Back,Left Midfielder,1156.2668,1.1220020201279295,4.011192307470025,-5.445589801416587,0.8894425573096881,-2.352420664302631,-1.5765764679342333,2.004976799168759,1
26361,Jordan Steeven Sierra Flores,Toluca,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,1420.3501,0.13107108790837446,-6.069870824258902,-2.9331026851252537,-0.5193175687011448,0.8239488633455919,-1.7426492126000697,-1.363179992395498,2
31044,Jefferson Alfredo Intriago Mendoza,Juárez,108,2021/2022,Centre Defensive Midfielder,Right Centre Midfielder,1185.9833,-0.38744433490148994,-3.1846676738250563,-0.6418818260715619,-3.1613604116398704,1.3529260796391882,-0.900044758128464,3.5143572598459953,2
4493,Cristian Damián Battocchio,Pumas UNAM,108,2021/2022,Right Defensive Midfielder,Centre Attacking Midfielder,841.1833,2.920041962503119,1.302426396282336,0.7359112583455052,-2.812246822088656,3.626138202512087,-1.8276538778974003,-1.37651532779944,0
5529,Víctor Yoshimar Yotún Flores,Cruz Azul,108,2021/2022,Left Defensive Midfielder,Left Centre Midfielder,878.25006,4.0827835430071975,-1.1215552010452001,5.925802411627386,2.551998780263433,2.4777440466618037,0.7215436946037059,-1.427583982103063,0
5526,Pedro Jesús Aquino Sánchez,América,108,2021/2022,Right Defensive Midfielder,Centre Defensive Midfielder,1762.25,-1.3549264187903396,-5.2457506379871415,0.3349029892434683,2.75712559721434,0.42583131070200037,1.1743333983262885,-2.5770278957368866,2
26258,Brayan Alexis Angulo León,Tijuana,108,2021/2022,Left Back,Left Wing Back,2987.2002,0.9246137677858022,2.3111654633481296,2.662782218445928,1.1849199497191036,-1.959079328605289,0.7217098758198539,0.3923145064344207,1
26345,John Stefan Medina Ramírez,Monterrey,108,2021/2022,Right Back,Right Centre Back,2824.917,-2.709251016663132,2.4718776820531816,2.0294888389657832,-1.0883862567485145,-0.08437024656875551,1.2144692723871708,-0.21534164253616242,1
28617,Andrés Felipe Mosquera Guardia,León,108,2021/2022,Right Back,Right Centre Back,3021.9836,-4.276766861554322,1.166655813416228,-0.1675343551964594,-2.5797122976260694,0.09177793741549795,0.7364281322166014,-0.8282154272953283,1
28508,Yairo Yesid Moreno Berrío,Pachuca,108,2021/2022,Left Back,Left Wing Back,1629.8834,3.8752518369178133,-0.7869274591446843,4.750242807427147,2.1956052853778627,-4.229261934667508,1.0656905797458527,2.124555217365809,0
27234,Christian Hernando Rivera Cuéllar,Tijuana,108,2021/2022,Left Defensive Midfielder,Right Defensive Midfielder,2812.0334,-0.5456030135059322,-5.4675192464286715,1.1242810612569778,4.189107900157907,-1.990816478612222,0.16059256768800553,0.1007768763908632,2
50461,Juan Manuel Sanabria Magole,Atlético San Luis,108,2021/2022,Left Defensive Midfielder,Right Centre Midfielder,2795.3835,1.1579739868919117,-0.1377637531215499,-2.4789821290491436,2.2305233666579247,2.858043106396424,2.089157073124732,1.7747503493677041,0
45216,Facundo Federico Waller Martiarena,Atlético San Luis,108,2021/2022,Left Centre Midfielder,Left Wing Back,2573.4668,4.385847685070084,2.3525506651149075,-0.2564765174293869,4.9985077922924805,-0.4835415094644802,0.06997151188459387,1.04894119367979,0
27904,Fernando Gorriarán Fontes,Santos Laguna,108,2021/2022,Left Defensive Midfielder,Right Defensive Midfielder,3171.8828,5.798304129574544,0.014326606167511104,1.3364732547583122,1.8902803050214507,1.020067715518367,0.7449022437589529,0.15258886703498392,0
36661,Bryan Olivera Calvo,Querétaro,108,2021/2022,Left Centre Midfielder,Centre Attacking Midfielder,1054.0333,5.991497322519324,1.7104952799083044,-1.079126432702393,1.9506007956200837,3.89591252259345,-0.6398477849770333,1.4387470235038038,0
35976,Gonzalo Gastón Freitas Silva,Mazatlán,108,2021/2022,Centre Defensive Midfielder,Right Defensive Midfielder,1575.133,-6.337202453195961,-2.9404042222271385,-1.5292818801760732,3.52646906375841,1.523356550526729,0.015828890092772625,0.4172470540153213,2
35492,Maximiliano Javier Araújo Vilches,Puebla,108,2021/2022,Left Wing Back,Left Wing,3399.5674,6.318636855569092,3.9590945653054663,-6.046340480084249,1.757690162249816,-1.218666288503208,-1.6400771366225095,1.7758291405117073,0
26351,Celso Fabián Ortiz Gamarra,Monterrey,108,2021/2022,Left Defensive Midfielder,Centre Defensive Midfielder,2344.9001,-2.451200678667127,-4.9872198170231306,2.385353700526455,1.7842521624262389,-1.3966951797324032,0.1777836767178972,-0.7501058007761009,2
