cluster,Centre Attacking Midfielder,Centre Back,Centre Defensive Midfielder,Centre Forward,Left Attacking Midfielder,Left Back,Left Centre Back,Left Centre Forward,Left Centre Midfielder,Left Defensive Midfielder,Left Midfielder,Left Wing,Left Wing Back,Right Back,Right Centre Back,Right Centre Midfielder,Right Defensive Midfielder,Right Midfielder,Right Wing,Right Wing Back
0,18,0,7,2,2,13,0,1,47,73,6,13,19,10,0,48,70,2,10,15
1,4,1,0,0,0,118,29,1,1,3,11,3,69,128,18,2,1,6,3,83
2,0,2,62,0,0,6,2,0,9,120,0,0,2,9,2,18,129,1,0,4
