cluster,Centre Attacking Midfielder,Centre Back,Centre Defensive Midfielder,Centre Forward,Left Attacking Midfielder,Left Back,Left Centre Back,Left Centre Forward,Left Centre Midfielder,Left Defensive Midfielder,Left Midfielder,Left Wing,Left Wing Back,Right Back,Right Centre Back,Right Centre Midfielder,Right Defensive Midfielder,Right Midfielder,Right Wing,Right Wing Back
0,17,0,5,1,1,1,0,1,47,69,3,4,1,0,0,49,66,1,5,1
1,0,1,39,0,0,2,0,0,4,66,0,0,0,0,2,2,64,0,0,0
2,0,1,25,0,0,0,1,0,5,58,0,0,0,1,1,14,69,1,0,0
