player_id,player_name,team_name,season_id,season_name,primary_position,secondary_position,player_season_minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster
28529,Fernando David Arce Juárez,Juárez,108,2021/2022,Left Defensive Midfielder,Centre Defensive Midfielder,1233.9667,-3.482053685637018,-2.882417525406997,1.3856489648033483,-0.3555561470184584,6.39182705018394,-0.7117157303370257,4.0814475110767905,2
30458,Alejandro Zendejas Saavedra,Necaxa,108,2021/2022,Left Centre Midfielder,Left Defensive Midfielder,1794.3,5.297519300181737,-2.1236322658586566,0.3174762807491183,2.038728708709399,3.456311971534964,-0.8416534065484752,2.6796105363351965,0
31044,Jefferson Alfredo Intriago Mendoza,Mazatlán,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,1779.0333,-2.5463738152039204,-0.6278397097159893,-1.6829889979896115,0.7639227335031729,-2.5471928955839043,0.927938696996635,1.35325913989411,1
26361,Jordan Steeven Sierra Flores,Toluca,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,1420.3501,-2.255907123897662,-2.2638586523317414,3.15659978284012,-2.6182719589235766,-2.024729075592074,-1.677301733372885,-0.37076923366636555,2
31044,Jefferson Alfredo Intriago Mendoza,Juárez,108,2021/2022,Centre Defensive Midfielder,Right Centre Midfielder,1185.9833,-1.6850297559488745,-0.3049996781725918,-2.226127810577096,-3.3525718819332577,-0.05391217537648258,-1.2800631319789042,3.216688612057755,2
4493,Cristian Damián Battocchio,Pumas UNAM,108,2021/2022,Right Defensive Midfielder,Centre Attacking Midfielder,841.1833,2.360540541798838,-0.0777731772325686,-5.131089917782045,-1.507876118799242,-1.0704041300018723,-0.1666463824253828,-2.5574230303961234,0
5529,Víctor Yoshimar Yotún Flores,Cruz Azul,108,2021/2022,Left Defensive Midfielder,Left Centre Midfielder,878.25006,3.1602588686144197,5.470541976802226,-0.8678591325386326,2.728464722925302,-1.9855702007378504,-3.52363403613681,-0.7152895382880281,0
5526,Pedro Jesús Aquino Sánchez,América,108,2021/2022,Right Defensive Midfielder,Centre Defensive Midfielder,1762.25,-3.364230374027196,0.3826342830644243,2.9467599753143316,2.214448698019317,-1.205686564954276,-0.08571714257733176,-1.3134529205566812,1
27234,Christian Hernando Rivera Cuéllar,Tijuana,108,2021/2022,Left Defensive Midfielder,Right Defensive Midfielder,2812.0334,-2.4994349594650087,1.5343503038819035,4.7973847561398735,2.808255117148518,-0.979627845801807,0.5224852831661305,1.5184287833523473,1
50461,Juan Manuel Sanabria Magole,Atlético San Luis,108,2021/2022,Left Defensive Midfielder,Right Centre Midfielder,2795.3835,1.1683530014521906,-3.1263558711097827,-1.4683759745015534,4.449716268498045,0.4584960088297206,-1.981318876597662,1.6583648714869466,0
45216,Facundo Federico Waller Martiarena,Atlético San Luis,108,2021/2022,Left Centre Midfielder,Left Wing Back,2573.4668,4.970079483774873,-0.820696973395098,-0.2716330410763789,5.228838532704455,-0.2362672164987983,2.76940851587027,1.5167599715485418,0
27904,Fernando Gorriarán Fontes,Santos Laguna,108,2021/2022,Left Defensive Midfielder,Right Defensive Midfielder,3171.8828,4.956862334897022,0.9272187220439999,-0.2968127731293225,2.6650547939383347,0.04646945824877494,0.13636209806763172,0.01686819013001787,0
36661,Bryan Olivera Calvo,Querétaro,108,2021/2022,Left Centre Midfielder,Centre Attacking Midfielder,1054.0333,5.7321717729748665,-1.7698249751285007,-3.1154089997235643,1.811202637514258,-1.6432887053909473,1.3835312144334095,0.891596882310577,0
35976,Gonzalo Gastón Freitas Silva,Mazatlán,108,2021/2022,Centre Defensive Midfielder,Right Defensive Midfielder,1575.133,-6.814247259179815,-2.287715808713879,-0.8682083340285057,4.142626452843058,-2.487432832997774,0.28047102748992303,0.4930535992802815,2
26351,Celso Fabián Ortiz Gamarra,Monterrey,108,2021/2022,Left Defensive Midfielder,Centre Defensive Midfielder,2344.9001,-4.137769332437232,2.454568474763294,2.4323572344512825,1.2488725716752445,0.07421491687853156,1.2446382078610003,-0.805210330972779,1
31956,Richard Rafael Sánchez Guerrero,América,108,2021/2022,Right Defensive Midfielder,Right Centre Midfielder,2434.333,2.9305624114884257,3.6167782314902164,-4.409588727795255,-0.3829883948224859,-0.7956722960216958,-0.9119430991694134,1.2474996419925788,0
37359,Roberto Ismael Meraz Bernal,Mazatlán,108,2021/2022,Left Defensive Midfielder,Right Defensive Midfielder,2534.0002,-4.350582046433828,-5.2078666547304175,-2.957387000960308,0.0700012904077544,1.7561336369780198,-0.5049126518941656,0.7521591412232357,2
27953,Andrés Iniestra Vázquez Mellado,Atlético San Luis,108,2021/2022,Right Defensive Midfielder,Right Centre Midfielder,1300.8668,-3.884792844507548,-3.327070057761912,-2.873632616467585,-0.5655454201297786,-1.3217513269651007,1.185638607945455,-1.2123936327173204,2
26289,Javier Güemez López,Atlético San Luis,108,2021/2022,Centre Defensive Midfielder,Right Defensive Midfielder,3457.7004,-3.1420416783588228,0.797851071802024,-3.04240658741613,2.8873874344525494,-0.649350873541542,2.4425352264134474,-1.1394885978137665,1
183000,Santiago Trigos Nava,Pumas UNAM,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,595.7834,-3.0220463051550412,1.0670070037522748,3.8474728220347685,-0.9811551032606445,-2.3474713208606808,-1.2369962963275543,1.5647379760469542,1
29265,Alan Jhosué Cervantes Martín del Campo,Santos Laguna,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,2591.25,-2.8204745700777174,-0.8958901076786685,2.2886449014309562,0.1072077507653636,-2.9361368939345356,1.1834773042229387,1.6914270583027387,1
