player_id,season_id,p_c0,p_c1,p_c2
28529,108,3.804286251157972e-05,2.6743799292965026e-08,0.9999619303936893
30458,108,0.9999999999989466,1.053640538166743e-12,2.3158378941961988e-17
31044,108,0.0006128709213867596,0.9892373174798226,0.010149811598790767
26361,108,0.004041064266266251,6.24921640766052e-05,0.995896443569657
31044,108,0.011748462536715598,4.303886240956167e-05,0.9882084986008747
4493,108,0.9999979428577251,2.0571422746867705e-06,9.312547696290933e-23
5529,108,0.9961015813309888,0.003898418669011128,4.273291869127197e-31
5526,108,1.2664738950480276e-05,0.986828063204473,0.013159272056576523
27234,108,5.6263464851874265e-05,0.9999386471211258,5.08941402230859e-06
50461,108,0.9999960107176173,7.369549338769657e-09,3.9819128335090145e-06
45216,108,0.9999505483365162,4.945166348389493e-05,2.6140102102710772e-28
27904,108,0.9999993920381332,6.079618668836655e-07,3.893165408523561e-40
36661,108,0.9999999961615964,3.838403654315183e-09,1.5039182849376815e-31
35976,108,1.0740272524314734e-05,0.1913565398775641,0.8086327198499116
26351,108,2.168056013883296e-06,0.9973944677821083,0.002603364161877905
31956,108,0.9987065127762148,0.00129348722378545,1.4893891135706633e-28
37359,108,2.842504301202863e-05,1.511577558931059e-08,0.9999715598412124
27953,108,2.6202734610346563e-05,0.00010142249624118393,0.9998723747691484
26289,108,6.267791698605821e-05,0.9999096262782533,2.7695804760650184e-05
183000,108,5.221004341532645e-05,0.9259992786134305,0.07394851134315422
29265,108,0.0008335557744871576,0.9939256992954962,0.0052407449300164565
26376,108,0.1689021700269641,0.8310978298847127,8.832352946824698e-11
27897,108,0.00048245518503630834,6.338748877868576e-05,0.999454157326185
27888,108,1.4687012134538388e-07,0.019977006467012528,0.9800228466628662
29413,108,0.9999999971119522,9.614382367744075e-16,2.8880468497955044e-09
34347,108,0.9915096066929137,0.007589224208432504,0.0009011690986539878
26324,108,6.625413343425819e-06,0.9986685692003701,0.0013248053862863886
30074,108,1.2499370763255263e-06,0.791696457542771,0.20830229252015278
28418,108,0.9999999999817799,1.8219992368599595e-11,6.043841311473322e-25
27888,108,2.2401946533799352e-07,0.0030763298266798245,0.9969234461538549
26278,108,1.4730657744701676e-05,0.006743021857824552,0.9932422474844309
43708,108,9.39907874919775e-06,0.005049235112612036,0.9949413658086389
28554,108,0.999994293717101,1.5242924155646535e-11,5.706267655932266e-06
44362,108,0.9999999999999996,2.557295778712352e-16,2.5537107409484374e-16
28516,108,3.3594424779787383e-06,0.9984170816167989,0.0015795589407230548
31445,108,0.00028254423580060205,0.0004992891681328308,0.9992181665960664
27960,108,0.9247438178701524,0.07525618212984803,1.7402084973151704e-19
27948,108,0.0016477718538702997,1.7423887039796015e-07,0.9983520539072592
26386,108,0.9999999997400053,1.3159754342370479e-11,2.468352545065426e-10
32267,108,0.9999999999999987,1.2918565184679924e-15,5.223077278323596e-23
26297,108,0.9999999972605096,2.739490353380599e-09,6.278102840284555e-38
31445,108,0.9999999868493819,1.3150617915458673e-08,2.2442094291729454e-17
32979,108,1.6757531081322988e-05,0.0030691618381696647,0.9969140806307493
28516,108,1.9412554573328266e-07,0.3032843235104077,0.6967154823640466
43330,108,0.023476861801264782,0.9765231249117272,1.328700836632808e-08
30457,108,0.9999899955122978,1.0004487701994052e-05,4.048953652866736e-27
26362,108,0.00015024642770563898,4.5862401752494935e-05,0.9998038911705419
75306,108,2.9338919504315156e-06,0.997683721260767,0.002313344847282587
43555,108,0.9999999785949216,2.1405077992760076e-08,7.603950947426928e-16
28207,108,0.9999999998666975,1.3330258184671058e-10,4.8666245635366515e-33
28424,108,0.0022174079531809537,7.451758897421355e-08,0.9977825175292301
27959,108,0.9999898629681863,1.5022304167827793e-17,1.0137031813446666e-05
26341,108,0.00020225159418456076,0.9997975774436219,1.709621935309418e-07
