player_id,player_name,team_name,season_name,primary_position,cluster,role,PC1,PC2,PC3,PC4,PC5,PC6
26272,Ventura Alvarado Aispuro,Juárez,2021/2022,Right Centre Back,1,Aggressive Stopper,0.8548152923348205,0.22077688414708116,0.1879847395498387,0.17220394631503963,-0.061144902796632254,-0.23272289227278148
30111,Felix Eduardo Torres Caicedo,Santos Laguna,2021/2022,Right Centre Back,1,Aggressive Stopper,0.7313054527054482,0.3301511012236932,-0.5218421072756968,-0.05978829817705198,-0.2020096294888688,0.15791104757271263
34301,Luis Fernando León Bermeo,Atlético San Luis,2021/2022,Right Centre Back,0,Ball-Playing Libero,0.16574364947986248,-0.5920081048171368,-0.33611594173791615,0.12478475565765991,-0.2431468128696811,-0.3673908785805192
5738,Anderson Santamaría Bardales,Atlas,2021/2022,Right Centre Back,1,Aggressive Stopper,0.5596468838611562,0.7457402524566894,-0.03874872138592965,0.1564730161072565,0.279478653149955,0.008997578321736928
28669,Luis Alfonso Abram Ugarelli,Cruz Azul,2021/2022,Left Centre Back,0,Ball-Playing Libero,0.02077173169887653,-0.4504653559461985,-0.2964314564230495,0.46499562075422013,-0.6471372868752547,-0.11231373932853975
29078,José Luis Caicedo Barrera,Pumas UNAM,2021/2022,Left Centre Back,0,Ball-Playing Libero,-0.001127505702241879,0.06856049126600186,-0.2548598265365017,-0.10638895425699836,-0.5907062663781184,0.34286848268277753
37034,Oscar Luis Vanegas Zúñiga,Toluca,2021/2022,Right Centre Back,1,Aggressive Stopper,0.5197338770903965,-0.02646089921238917,-0.6044655147854968,0.43108091788471764,0.08949290269248127,-0.24710738027719864
5680,Oscar Fabián Murillo Murillo,Pachuca,2021/2022,Left Centre Back,1,Aggressive Stopper,0.26108491851654364,0.3475846599986333,-0.7450669482519031,-0.4040466844845609,-0.06966544541748179,-0.0006558726510968556
27354,Kevin Alexander Balanta Lucumí,Querétaro,2021/2022,Right Centre Back,1,Aggressive Stopper,0.09127741321260974,0.7187563449561007,0.34074577703460557,0.2838428159100458,0.3552307153262045,-0.23778628153570822
29597,Jaine Stiven Barreiro Solis,León,2021/2022,Right Centre Back,1,Aggressive Stopper,-0.20111777158427113,0.8343784499751776,-0.3494737502089554,0.20209981932052767,-0.10977895055846308,0.035135762239584555
29129,Geisson Alexander Perea Ocoró,Pachuca,2021/2022,Left Centre Back,0,Ball-Playing Libero,0.23344857399606095,-0.5823349577912905,0.19228560247917034,0.40573527020075995,0.1480472649659055,-0.525269176705686
28520,William José Tesillo Gutiérrez,León,2021/2022,Left Centre Back,1,Aggressive Stopper,-0.017973097677309962,0.8813917457649268,-0.36358414091128294,0.03755495298786467,-0.14281285085605835,0.16864056186064996
37759,Yonatthan Nicolás Rak Barragán,Tijuana,2021/2022,Left Centre Back,1,Aggressive Stopper,0.5937527706308319,-0.06361783116382899,-0.5625018732116602,-0.0850942524445189,-0.14135173752943322,-0.19408156263501158
43553,Emanuel Gularte Méndez,Puebla,2021/2022,Right Centre Back,1,Aggressive Stopper,0.48763240445022116,0.8156146021066595,0.2579983992692981,-0.13066309153931394,-0.17595178186187135,-0.07410369251478437
30978,Maximiliano Perg Schneider,Querétaro,2021/2022,Right Centre Back,0,Ball-Playing Libero,0.5912934438169914,-0.19489309460059268,0.32331166189258087,-0.5352326054674417,0.05533903229363531,0.12529966485291333
23888,Gary Christofer Kagelmacher Pérez,León,2021/2022,Left Centre Back,1,Aggressive Stopper,0.0017379870726594799,0.729162463008755,-0.25748221662720566,0.15240327704738676,0.26069241349355465,0.4499305646087034
37916,Agustín Oliveros Cano,Necaxa,2021/2022,Left Centre Back,1,Aggressive Stopper,0.274297538913375,0.12416711336220498,-0.29891778227226357,0.7530053497334825,-0.32769673285952927,-0.13449004842966591
8295,Maximiliano Martín Olivera de Andrea,Juárez,2021/2022,Left Centre Back,1,Aggressive Stopper,0.05898167007394456,0.4598820739266939,0.25626375962785697,0.5761789830213,0.04992400595405627,-0.2660202117480273
36296,Fabricio Orosmán Formiliano Duarte,Necaxa,2021/2022,Left Centre Back,1,Aggressive Stopper,0.5585492537362641,0.33435213225815996,-0.6392091438088976,0.2984369376188982,0.10997605956174207,0.1089580967840226
35690,Sebastián Enzo Cáceres Ramos,América,2021/2022,Left Centre Back,1,Aggressive Stopper,0.3941604388348164,0.4360058011479656,-0.14773846550701347,0.11092961897298283,0.3529674278788655,0.41935706475716655
37625,Enzo Gabriel Martínez Suárez,Querétaro,2021/2022,Left Centre Back,1,Aggressive Stopper,0.37288403977164164,0.5612064426243297,0.03844644074117096,0.21091039774653275,0.39283009694156035,0.4750143731826437
26343,Pablo César Aguilar Benítez,Cruz Azul,2021/2022,Right Centre Back,1,Aggressive Stopper,0.38190672921265695,0.08893938448548885,-0.7581132941457499,-0.26958304857007526,0.2685406232161049,-0.05912013071390601
34398,José Alexis Doldán Aquino,Querétaro,2021/2022,Left Centre Back,1,Aggressive Stopper,0.8721444272678074,0.18000734562860124,0.14041419660648818,-0.09025623318891904,-0.11623771743804603,0.2593271680224379
28943,Víctor Gustavo Velázquez Ramos,Juárez,2021/2022,Right Centre Back,1,Aggressive Stopper,0.8361114023060953,0.04010215180644645,-0.3014963587212465,-0.10386807052934542,-0.10761440276157054,-0.23711740259863448
26407,Bruno Amílcar Valdez Rojas,América,2021/2022,Right Centre Back,1,Aggressive Stopper,0.3582364201874253,0.2931273643098004,-0.6336533451253041,0.217608127273929,0.010381920594246783,-0.25315833651209296
