player_id,player_name,team_name,season_id,season_name,primary_position,secondary_position,player_season_minutes,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster,p_c0,p_c1,p_c2,p_c3,p_c4,p_c5
28529,Fernando David Arce Juárez,Juárez,108,2021/2022,Left Defensive Midfielder,Centre Defensive Midfielder,1233.9667,-2.0498973607969657,-4.292979687477895,-3.308286604455262,-0.833532287063585,-1.7402850913058299,6.222483710476947,4.891056852007191,3,1.1417397654485547e-24,1.5660346667176184e-13,2.4082235338361134e-17,0.9999999559112088,1.6795836002762603e-28,4.4088634769168935e-08
30458,Alejandro Zendejas Saavedra,Necaxa,108,2021/2022,Left Centre Midfielder,Left Defensive Midfielder,1794.3,6.0396136673807534,0.46730638320717804,-1.946942492880551,1.1839780276868936,-0.11937691935863065,3.683350015180861,2.40851526883532,1,1.3871333656238087e-36,0.9982139939244389,5.094113396747956e-41,0.00019728618398929471,3.1011781469289447e-15,0.0015887198915685162
28173,Aníbal Hernán Chalá Ayoví,Atlas,108,2021/2022,Left Wing Back,Left Midfielder,1156.2668,1.122002020127931,4.011192307470014,-5.445589801416589,0.889442557309691,-2.35242066430262,-1.5765764679342384,2.0049767991687637,5,1.1188764993081347e-44,7.545215578288212e-12,5.566961554067878e-05,5.628889011931246e-05,4.1118809794372255e-18,0.9998880414867949
31044,Jefferson Alfredo Intriago Mendoza,Mazatlán,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,1779.0333,-1.735604850017686,-3.4515076229531703,-0.2053565644080703,1.03635393828376,2.641896776461462,-2.087456368010944,2.0915566521379825,0,0.9961520828605722,4.295989287856441e-19,1.857327932348609e-23,0.0038479149354325405,2.2039953502276575e-09,2.8410350768908346e-23
31044,Jefferson Alfredo Intriago Mendoza,Juárez,108,2021/2022,Centre Defensive Midfielder,Right Centre Midfielder,1185.9833,-0.3874443349014947,-3.184667673825057,-0.6418818260715546,-3.1613604116398752,1.3529260796391849,-0.9000447581284431,3.5143572598460002,3,1.976649605685428e-07,5.445017516020887e-11,9.508989386116423e-28,0.9999998022656724,1.4916731676736517e-11,4.3475907381666424e-17
26361,Jordan Steeven Sierra Flores,Toluca,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,1420.3501,0.13107108790836317,-6.069870824258898,-2.9331026851252378,-0.5193175687011471,0.8239488633456012,-1.7426492126000723,-1.3631799923954868,0,0.7731262933891457,1.1245648983772949e-06,3.6032665043483743e-40,0.22687258204595595,3.80483022504164e-24,1.7930930447643693e-19
4493,Cristian Damián Battocchio,Pumas UNAM,108,2021/2022,Right Defensive Midfielder,Centre Attacking Midfielder,841.1833,2.920041962503119,1.3024263962823313,0.7359112583455009,-2.81224682208866,3.6261382025120916,-1.8276538778973899,-1.37651532779943,4,1.0615090461934547e-18,0.005568310469895534,6.843793366032207e-32,1.8312777486384972e-05,0.9944075351247249,5.841627893452093e-06
5526,Pedro Jesús Aquino Sánchez,América,108,2021/2022,Right Defensive Midfielder,Centre Defensive Midfielder,1762.25,-1.3549264187903474,-5.245750637987137,0.3349029892434773,2.7571255972143405,0.42583131070200125,1.174333398326281,-2.5770278957368924,0,0.9501669720219811,5.576824624632242e-16,2.780628516814399e-34,0.049833027978018245,1.0403822046521103e-16,1.8306197820235973e-17
5529,Víctor Yoshimar Yotún Flores,Cruz Azul,108,2021/2022,Left Defensive Midfielder,Left Centre Midfielder,878.25006,4.0827835430071975,-1.121555201045199,5.9258024116273775,2.551998780263431,2.4777440466618064,0.7215436946037173,-1.4275839821030658,4,9.965206901443372e-08,0.00026090132830298263,5.866795248499079e-50,2.2287381304305913e-07,0.9997387750637206,1.0820942434286483e-09
28508,Yairo Yesid Moreno Berrío,Pachuca,108,2021/2022,Left Back,Left Wing Back,1629.8834,3.875251836917816,-0.7869274591446842,4.750242807427143,2.1956052853778725,-4.229261934667508,1.065690579745837,2.124555217365791,4,4.0857229456068625e-12,2.4303111422780745e-05,6.188713826501498e-38,0.000423530803493861,0.9994359158949724,0.00011625018602505839
27234,Christian Hernando Rivera Cuéllar,Tijuana,108,2021/2022,Left Defensive Midfielder,Right Defensive Midfielder,2812.0334,-0.5456030135059399,-5.467519246428667,1.1242810612569858,4.18910790015791,-1.9908164786122116,0.1605925676879963,0.10077687639086266,0,0.9847731627497591,1.9240060070424744e-14,6.749314282837085e-36,0.015226837131931726,1.1828718887262841e-10,2.8388828469084265e-15
26258,Brayan Alexis Angulo León,Tijuana,108,2021/2022,Left Back,Left Wing Back,2987.2002,0.9246137677858061,2.31116546334813,2.6627822184459204,1.184919949719108,-1.9590793286052886,0.7217098758198457,0.39231450643441296,4,9.00717754153694e-31,8.196185464539774e-21,7.342980195857278e-13,2.7408733482752537e-08,0.8095419360395244,0.1904580365510077
28617,Andrés Felipe Mosquera Guardia,León,108,2021/2022,Right Back,Right Centre Back,3021.9836,-4.276766861554315,1.1666558134162328,-0.16753435519645632,-2.57971229762607,0.09177793741548662,0.7364281322165963,-0.8282154272953409,2,2.683364559864837e-17,3.653777226290512e-59,0.9995921398472496,0.0004006631796453694,1.622848497639447e-11,7.196956876453791e-06
26345,John Stefan Medina Ramírez,Monterrey,108,2021/2022,Right Back,Right Centre Back,2824.917,-2.7092510166631234,2.471877682053185,2.0294888389657784,-1.0883862567485143,-0.08437024656876584,1.2144692723871688,-0.21534164253616936,2,9.901348707858813e-27,1.7900243844631158e-59,0.9886817249673084,3.8251101668524307e-07,0.01064955057471366,0.0006683419469612113
