cluster,Centre Defensive Midfielder,Left Back,Left Centre Midfielder,Left Defensive Midfielder,Left Wing Back,Right Back,Right Centre Midfielder,Right Defensive Midfielder,Right Wing Back
0,17,0,1,34,0,1,0,59,0
1,0,1,26,22,4,0,18,31,2
2,0,60,0,0,9,58,0,1,6
3,7,4,3,31,0,6,5,29,4
4,1,19,2,14,8,25,1,10,3
5,0,20,1,0,13,34,1,0,13
