player_id,season_id,p_c0,p_c1,p_c2,p_c3,p_c4,p_c5
28529,108,1.1417397654485547e-24,1.5660346667176184e-13,2.4082235338361134e-17,0.9999999559112088,1.6795836002762603e-28,4.4088634769168935e-08
30458,108,1.3871333656238087e-36,0.9982139939244389,5.094113396747956e-41,0.00019728618398929471,3.1011781469289447e-15,0.0015887198915685162
28173,108,1.1188764993081347e-44,7.545215578288212e-12,5.566961554067878e-05,5.628889011931246e-05,4.1118809794372255e-18,0.9998880414867949
31044,108,0.9961520828605722,4.295989287856441e-19,1.857327932348609e-23,0.0038479149354325405,2.2039953502276575e-09,2.8410350768908346e-23
31044,108,1.976649605685428e-07,5.445017516020887e-11,9.508989386116423e-28,0.9999998022656724,1.4916731676736517e-11,4.3475907381666424e-17
26361,108,0.7731262933891457,1.1245648983772949e-06,3.6032665043483743e-40,0.22687258204595595,3.80483022504164e-24,1.7930930447643693e-19
4493,108,1.0615090461934547e-18,0.005568310469895534,6.843793366032207e-32,1.8312777486384972e-05,0.9944075351247249,5.841627893452093e-06
5526,108,0.9501669720219811,5.576824624632242e-16,2.780628516814399e-34,0.049833027978018245,1.0403822046521103e-16,1.8306197820235973e-17
5529,108,9.965206901443372e-08,0.00026090132830298263,5.866795248499079e-50,2.2287381304305913e-07,0.9997387750637206,1.0820942434286483e-09
28508,108,4.0857229456068625e-12,2.4303111422780745e-05,6.188713826501498e-38,0.000423530803493861,0.9994359158949724,0.00011625018602505839
27234,108,0.9847731627497591,1.9240060070424744e-14,6.749314282837085e-36,0.015226837131931726,1.1828718887262841e-10,2.8388828469084265e-15
26258,108,9.00717754153694e-31,8.196185464539774e-21,7.342980195857278e-13,2.7408733482752537e-08,0.8095419360395244,0.1904580365510077
28617,108,2.683364559864837e-17,3.653777226290512e-59,0.9995921398472496,0.0004006631796453694,1.622848497639447e-11,7.196956876453791e-06
26345,108,9.901348707858813e-27,1.7900243844631158e-59,0.9886817249673084,3.8251101668524307e-07,0.01064955057471366,0.0006683419469612113
35976,108,0.1322930116877767,6.369081241570132e-42,0.00042819662468562803,0.8672787916870317,3.2318802904209456e-15,5.026482914665503e-13
50461,108,2.3525959076293045e-21,0.0035401086238502884,2.734897010337368e-21,0.9964527113868841,1.667079701164104e-17,7.179989265911312e-06
27904,108,1.8208158449109944e-18,0.9982054669584713,3.6895707716799914e-58,5.635985168899846e-07,0.0017911656336147602,2.8038093970563407e-06
