k,BIC,AIC,converged
2,1681.1744636649998,1414.9675616655138,True
3,1746.395396460156,1345.2103469679728,True
4,1851.62908551102,1315.46588852614,True
5,1966.4977868223268,1295.3564423447494,True
6,2082.092878776175,1275.9733868059009,True
7,2155.302660821198,1214.2050213582265,True
8,2296.9981177504897,1220.9223307948212,True
9,2426.764285471979,1215.7103510236134,True
10,2558.828086120037,1212.7960041789743,True
