player_id,player_name,team_name,season_id,season_name,primary_position,secondary_position,player_season_minutes,PC1,PC2,PC3,PC4,PC5,PC6,cluster
28529,Fernando David Arce Juárez,Juárez,108,2021/2022,Left Defensive Midfielder,Centre Defensive Midfielder,1233.9667,-2.0498973607969657,-4.292979687477895,-3.308286604455262,-0.833532287063585,-1.7402850913058299,6.222483710476947,2
30458,Alejandro Zendejas Saavedra,Necaxa,108,2021/2022,Left Centre Midfielder,Left Defensive Midfielder,1794.3,6.0396136673807534,0.46730638320717804,-1.946942492880551,1.1839780276868936,-0.11937691935863065,3.683350015180861,3
28173,Aníbal Hernán Chalá Ayoví,Atlas,108,2021/2022,Left Wing Back,Left Midfielder,1156.2668,1.122002020127931,4.011192307470014,-5.445589801416589,0.889442557309691,-2.35242066430262,-1.5765764679342384,0
31044,Jefferson Alfredo Intriago Mendoza,Mazatlán,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,1779.0333,-1.735604850017686,-3.4515076229531703,-0.2053565644080703,1.03635393828376,2.641896776461462,-2.087456368010944,2
31044,Jefferson Alfredo Intriago Mendoza,Juárez,108,2021/2022,Centre Defensive Midfielder,Right Centre Midfielder,1185.9833,-0.3874443349014947,-3.184667673825057,-0.6418818260715546,-3.1613604116398752,1.3529260796391849,-0.9000447581284431,2
26361,Jordan Steeven Sierra Flores,Toluca,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,1420.3501,0.13107108790836317,-6.069870824258898,-2.9331026851252378,-0.5193175687011471,0.8239488633456012,-1.7426492126000723,2
4493,Cristian Damián Battocchio,Pumas UNAM,108,2021/2022,Right Defensive Midfielder,Centre Attacking Midfielder,841.1833,2.920041962503119,1.3024263962823313,0.7359112583455009,-2.81224682208866,3.6261382025120916,-1.8276538778973899,3
5526,Pedro Jesús Aquino Sánchez,América,108,2021/2022,Right Defensive Midfielder,Centre Defensive Midfielder,1762.25,-1.3549264187903474,-5.245750637987137,0.3349029892434773,2.7571255972143405,0.42583131070200125,1.174333398326281,2
5529,Víctor Yoshimar Yotún Flores,Cruz Azul,108,2021/2022,Left Defensive Midfielder,Left Centre Midfielder,878.25006,4.0827835430071975,-1.121555201045199,5.9258024116273775,2.551998780263431,2.4777440466618064,0.7215436946037173,3
28508,Yairo Yesid Moreno Berrío,Pachuca,108,2021/2022,Left Back,Left Wing Back,1629.8834,3.875251836917816,-0.7869274591446842,4.750242807427143,2.1956052853778725,-4.229261934667508,1.065690579745837,3
27234,Christian Hernando Rivera Cuéllar,Tijuana,108,2021/2022,Left Defensive Midfielder,Right Defensive Midfielder,2812.0334,-0.5456030135059399,-5.467519246428667,1.1242810612569858,4.18910790015791,-1.9908164786122116,0.1605925676879963,2
26258,Brayan Alexis Angulo León,Tijuana,108,2021/2022,Left Back,Left Wing Back,2987.2002,0.9246137677858061,2.31116546334813,2.6627822184459204,1.184919949719108,-1.9590793286052886,0.7217098758198457,0
28617,Andrés Felipe Mosquera Guardia,León,108,2021/2022,Right Back,Right Centre Back,3021.9836,-4.276766861554315,1.1666558134162328,-0.16753435519645632,-2.57971229762607,0.09177793741548662,0.7364281322165963,1
26345,John Stefan Medina Ramírez,Monterrey,108,2021/2022,Right Back,Right Centre Back,2824.917,-2.7092510166631234,2.471877682053185,2.0294888389657784,-1.0883862567485143,-0.08437024656876584,1.2144692723871688,1
35976,Gonzalo Gastón Freitas Silva,Mazatlán,108,2021/2022,Centre Defensive Midfielder,Right Defensive Midfielder,1575.133,-6.337202453195961,-2.940404222227129,-1.5292818801760664,3.5264690637584053,1.5233565505267366,0.015828890092787755,2
50461,Juan Manuel Sanabria Magole,Atlético San Luis,108,2021/2022,Left Defensive Midfielder,Right Centre Midfielder,2795.3835,1.1579739868919081,-0.13776375312155587,-2.4789821290491445,2.2305233666579154,2.858043106396416,2.0891570731247606,3
27904,Fernando Gorriarán Fontes,Santos Laguna,108,2021/2022,Left Defensive Midfielder,Right Defensive Midfielder,3171.8828,5.798304129574539,0.014326606167504257,1.336473254758307,1.8902803050214487,1.0200677155183675,0.7449022437589615,3
45216,Facundo Federico Waller Martiarena,Atlético San Luis,108,2021/2022,Left Centre Midfielder,Left Wing Back,2573.4668,4.385847685070081,2.3525506651148973,-0.25647651742939576,4.998507792292483,-0.48354150946447166,0.06997151188459855,3
36661,Bryan Olivera Calvo,Querétaro,108,2021/2022,Left Centre Midfielder,Centre Attacking Midfielder,1054.0333,5.9914973225193195,1.7104952799082949,-1.079126432702401,1.9506007956200766,3.8959125225934543,-0.639847784977005,3
35492,Maximiliano Javier Araújo Vilches,Puebla,108,2021/2022,Left Wing Back,Left Wing,3399.5674,6.318636855569088,3.9590945653054477,-6.046340480084256,1.7576901622498207,-1.2186662885031991,-1.6400771366225106,3
28159,Juan Marcelo Escobar Chena,Cruz Azul,108,2021/2022,Right Back,Right Wing Back,2727.7334,-2.062965320674716,2.5568750302804033,-1.9124985836416197,1.0930682007043198,0.07648479718901197,2.6341465972549973,1
31956,Richard Rafael Sánchez Guerrero,América,108,2021/2022,Right Defensive Midfielder,Right Centre Midfielder,2434.333,3.82900764126176,0.38679257082684165,4.321102225071265,-1.1656596636922119,4.788504952032129,-1.1756083120123302,3
26351,Celso Fabián Ortiz Gamarra,Monterrey,108,2021/2022,Left Defensive Midfielder,Centre Defensive Midfielder,2344.9001,-2.45120067866713,-4.98721981702312,2.3853537005264625,1.7842521624262428,-1.3966951797323983,0.17778367671788495,2
