player_id,player_name,team_name,season_id,season_name,primary_position,secondary_position,player_season_minutes,PC1,PC2,PC3,PC4,PC5,PC6,cluster,p_c0,p_c1,p_c2,p_c3
28529,Fernando David Arce Juárez,Juárez,108,2021/2022,Left Defensive Midfielder,Centre Defensive Midfielder,1233.9667,-2.0498973607969657,-4.292979687477895,-3.308286604455262,-0.833532287063585,-1.7402850913058299,6.222483710476947,2,2.699231416206891e-08,2.4500158204005527e-18,0.9998723057098389,0.00012766729784707744
30458,Alejandro Zendejas Saavedra,Necaxa,108,2021/2022,Left Centre Midfielder,Left Defensive Midfielder,1794.3,6.0396136673807534,0.46730638320717804,-1.946942492880551,1.1839780276868936,-0.11937691935863065,3.683350015180861,3,1.5724357011646456e-05,2.117460034864951e-42,2.652499006470211e-10,0.9999842753777385
28173,Aníbal Hernán Chalá Ayoví,Atlas,108,2021/2022,Left Wing Back,Left Midfielder,1156.2668,1.122002020127931,4.011192307470014,-5.445589801416589,0.889442557309691,-2.35242066430262,-1.5765764679342384,0,0.9941401335666065,0.0006084208750811737,1.865458072685571e-15,0.005251445558310782
31044,Jefferson Alfredo Intriago Mendoza,Mazatlán,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,1779.0333,-1.735604850017686,-3.4515076229531703,-0.2053565644080703,1.03635393828376,2.641896776461462,-2.087456368010944,2,3.2275798240152803e-13,7.088404242982506e-22,0.9978582196726665,0.0021417803270108384
31044,Jefferson Alfredo Intriago Mendoza,Juárez,108,2021/2022,Centre Defensive Midfielder,Right Centre Midfielder,1185.9833,-0.3874443349014947,-3.184667673825057,-0.6418818260715546,-3.1613604116398752,1.3529260796391849,-0.9000447581284431,2,1.6209465280367388e-13,7.063727759839721e-29,0.9964719245174264,0.0035280754824114427
26361,Jordan Steeven Sierra Flores,Toluca,108,2021/2022,Right Defensive Midfielder,Left Defensive Midfielder,1420.3501,0.13107108790836317,-6.069870824258898,-2.9331026851252378,-0.5193175687011471,0.8239488633456012,-1.7426492126000723,2,2.3495335125988675e-17,5.510406075702553e-35,0.9846107425786309,0.015389257421369092
4493,Cristian Damián Battocchio,Pumas UNAM,108,2021/2022,Right Defensive Midfielder,Centre Attacking Midfielder,841.1833,2.920041962503119,1.3024263962823313,0.7359112583455009,-2.81224682208866,3.6261382025120916,-1.8276538778973899,3,0.0008087183258617648,3.062233346863683e-29,1.673766824299501e-12,0.9991912816724645
5526,Pedro Jesús Aquino Sánchez,América,108,2021/2022,Right Defensive Midfielder,Centre Defensive Midfielder,1762.25,-1.3549264187903474,-5.245750637987137,0.3349029892434773,2.7571255972143405,0.42583131070200125,1.174333398326281,2,2.082729373129203e-14,3.66805524065357e-33,0.9997301023837978,0.0002698976161813605
5529,Víctor Yoshimar Yotún Flores,Cruz Azul,108,2021/2022,Left Defensive Midfielder,Left Centre Midfielder,878.25006,4.0827835430071975,-1.121555201045199,5.9258024116273775,2.551998780263431,2.4777440466618064,0.7215436946037173,3,1.9699544877150127e-06,1.5999797165976963e-49,3.615315125946135e-08,0.999997993892361
28508,Yairo Yesid Moreno Berrío,Pachuca,108,2021/2022,Left Back,Left Wing Back,1629.8834,3.875251836917816,-0.7869274591446842,4.750242807427143,2.1956052853778725,-4.229261934667508,1.065690579745837,3,0.028562634131538027,1.6708678169738727e-41,2.7417483049879515e-06,0.9714346241201571
27234,Christian Hernando Rivera Cuéllar,Tijuana,108,2021/2022,Left Defensive Midfielder,Right Defensive Midfielder,2812.0334,-0.5456030135059399,-5.467519246428667,1.1242810612569858,4.18910790015791,-1.9908164786122116,0.1605925676879963,2,4.057861639811015e-11,3.2353089325944944e-36,0.9994325235991386,0.0005674763602827822
26258,Brayan Alexis Angulo León,Tijuana,108,2021/2022,Left Back,Left Wing Back,2987.2002,0.9246137677858061,2.31116546334813,2.6627822184459204,1.184919949719108,-1.9590793286052886,0.7217098758198457,0,0.9999886057868268,3.879297223571091e-15,7.175805922146847e-17,1.1394213169325814e-05
28617,Andrés Felipe Mosquera Guardia,León,108,2021/2022,Right Back,Right Centre Back,3021.9836,-4.276766861554315,1.1666558134162328,-0.16753435519645632,-2.57971229762607,0.09177793741548662,0.7364281322165963,1,0.005611810436845467,0.9943124224294005,7.576712679423559e-05,6.959761394182782e-12
26345,John Stefan Medina Ramírez,Monterrey,108,2021/2022,Right Back,Right Centre Back,2824.917,-2.7092510166631234,2.471877682053185,2.0294888389657784,-1.0883862567485143,-0.08437024656876584,1.2144692723871688,1,0.18690033473253054,0.8130996650542506,2.019157954597452e-10,1.1303084496157954e-11
35976,Gonzalo Gastón Freitas Silva,Mazatlán,108,2021/2022,Centre Defensive Midfielder,Right Defensive Midfielder,1575.133,-6.337202453195961,-2.940404222227129,-1.5292818801760664,3.5264690637584053,1.5233565505267366,0.015828890092787755,2,5.093650654373451e-07,0.00016091685027824355,0.9998377250347138,8.487499427321608e-07
50461,Juan Manuel Sanabria Magole,Atlético San Luis,108,2021/2022,Left Defensive Midfielder,Right Centre Midfielder,2795.3835,1.1579739868919081,-0.13776375312155587,-2.4789821290491445,2.2305233666579154,2.858043106396416,2.0891570731247606,3,6.529801383352608e-07,1.7361257591504683e-21,4.0992893403426044e-05,0.999958354126458
27904,Fernando Gorriarán Fontes,Santos Laguna,108,2021/2022,Left Defensive Midfielder,Right Defensive Midfielder,3171.8828,5.798304129574539,0.014326606167504257,1.336473254758307,1.8902803050214487,1.0200677155183675,0.7449022437589615,3,9.248145936628266e-07,6.537842785965879e-56,1.3060368524729525e-12,0.9999990751841004
