cluster,Centre Defensive Midfielder,Left Back,Left Centre Midfielder,Left Defensive Midfielder,Left Wing Back,Right Back,Right Centre Midfielder,Right Defensive Midfielder,Right Wing Back
0,0,39,0,1,15,61,0,0,12
1,0,60,0,0,9,57,0,1,9
2,23,3,3,57,0,5,2,82,0
3,2,2,30,43,10,1,23,47,7
