cluster,Centre Attacking Midfielder,Centre Back,Centre Defensive Midfielder,Centre Forward,Left Attacking Midfielder,Left Back,Left Centre Back,Left Centre Forward,Left Centre Midfielder,Left Defensive Midfielder,Left Midfielder,Left Wing,Left Wing Back,Right Back,Right Centre Back,Right Centre Midfielder,Right Defensive Midfielder,Right Midfielder,Right Wing,Right Wing Back
0,4,0,0,0,0,55,8,0,1,3,4,4,39,72,5,1,0,5,6,48
1,1,1,0,0,0,73,21,1,0,0,8,0,36,67,13,1,1,1,1,43
2,0,2,62,0,0,5,2,0,8,117,0,0,2,6,2,15,126,1,0,2
3,17,0,7,2,2,4,0,1,48,76,5,12,13,2,0,51,73,2,6,9
