cluster,PC1,PC2,PC3,PC4,PC5,PC6
0,0.06901274180961621,0.8908496600539192,0.3078744003307978,-0.03181070439072006,-0.3239350063149222,0.029860827862017526
1,-0.8103939689561693,0.5752743217887258,-0.08565922901242308,0.01097516333970813,-0.02311277982017907,-0.06579446370050372
2,-0.44788028325316326,-0.8932267951121454,-0.008538007882043985,-0.025761509737980973,0.028380368436338066,0.002673217461321997
3,0.9718217966239683,-0.1661101001620448,-0.0930471644791233,-0.009242594833410792,0.13865085147457307,-0.0016035084141281081
